Date,WeekDayName,WeekDayNameShort,WeekdayIndex,WeekNumber,MonthName,MonthNameShort,MonthIndex,Module,AcademicYear,AcademicYearShort,AcademicYearStart,AcademicYearEnd,FullModuleName,ModuleIndex
03/09/2017,Sunday,Sun,7,2,September,Sep,1,Module 1,2017-18,17/18,2017,2018,2017-18 Module 1,1
04/09/2017,Monday,Mon,1,2,September,Sep,1,Module 1,2017-18,17/18,2017,2018,2017-18 Module 1,1
05/09/2017,Tuesday,Tue,2,2,September,Sep,1,Module 1,2017-18,17/18,2017,2018,2017-18 Module 1,1
06/09/2017,Wednesday,Wed,3,2,September,Sep,1,Module 1,2017-18,17/18,2017,2018,2017-18 Module 1,1
07/09/2017,Thursday,Thu,4,2,September,Sep,1,Module 1,2017-18,17/18,2017,2018,2017-18 Module 1,1
08/09/2017,Friday,Fri,5,2,September,Sep,1,Module 1,2017-18,17/18,2017,2018,2017-18 Module 1,1
09/09/2017,Saturday,Sat,6,2,September,Sep,1,Module 1,2017-18,17/18,2017,2018,2017-18 Module 1,1
10/09/2017,Sunday,Sun,7,2,September,Sep,1,Module 1,2017-18,17/18,2017,2018,2017-18 Module 1,1
11/09/2017,Monday,Mon,1,3,September,Sep,1,Module 1,2017-18,17/18,2017,2018,2017-18 Module 1,1
12/09/2017,Tuesday,Tue,2,3,September,Sep,1,Module 1,2017-18,17/18,2017,2018,2017-18 Module 1,1
13/09/2017,Wednesday,Wed,3,3,September,Sep,1,Module 1,2017-18,17/18,2017,2018,2017-18 Module 1,1
14/09/2017,Thursday,Thu,4,3,September,Sep,1,Module 1,2017-18,17/18,2017,2018,2017-18 Module 1,1
15/09/2017,Friday,Fri,5,3,September,Sep,1,Module 1,2017-18,17/18,2017,2018,2017-18 Module 1,1
16/09/2017,Saturday,Sat,6,3,September,Sep,1,Module 1,2017-18,17/18,2017,2018,2017-18 Module 1,1
17/09/2017,Sunday,Sun,7,3,September,Sep,1,Module 1,2017-18,17/18,2017,2018,2017-18 Module 1,1
18/09/2017,Monday,Mon,1,4,September,Sep,1,Module 1,2017-18,17/18,2017,2018,2017-18 Module 1,1
19/09/2017,Tuesday,Tue,2,4,September,Sep,1,Module 1,2017-18,17/18,2017,2018,2017-18 Module 1,1
20/09/2017,Wednesday,Wed,3,4,September,Sep,1,Module 1,2017-18,17/18,2017,2018,2017-18 Module 1,1
21/09/2017,Thursday,Thu,4,4,September,Sep,1,Module 1,2017-18,17/18,2017,2018,2017-18 Module 1,1
22/09/2017,Friday,Fri,5,4,September,Sep,1,Module 1,2017-18,17/18,2017,2018,2017-18 Module 1,1
23/09/2017,Saturday,Sat,6,4,September,Sep,1,Module 1,2017-18,17/18,2017,2018,2017-18 Module 1,1
24/09/2017,Sunday,Sun,7,4,September,Sep,1,Module 1,2017-18,17/18,2017,2018,2017-18 Module 1,1
25/09/2017,Monday,Mon,1,5,September,Sep,1,Module 1,2017-18,17/18,2017,2018,2017-18 Module 1,1
26/09/2017,Tuesday,Tue,2,5,September,Sep,1,Module 1,2017-18,17/18,2017,2018,2017-18 Module 1,1
27/09/2017,Wednesday,Wed,3,5,September,Sep,1,Module 1,2017-18,17/18,2017,2018,2017-18 Module 1,1
28/09/2017,Thursday,Thu,4,5,September,Sep,1,Module 1,2017-18,17/18,2017,2018,2017-18 Module 1,1
29/09/2017,Friday,Fri,5,5,September,Sep,1,Module 1,2017-18,17/18,2017,2018,2017-18 Module 1,1
30/09/2017,Saturday,Sat,6,5,September,Sep,1,Module 1,2017-18,17/18,2017,2018,2017-18 Module 1,1
01/10/2017,Sunday,Sun,7,5,October,Oct,2,Module 1,2017-18,17/18,2017,2018,2017-18 Module 1,1
02/10/2017,Monday,Mon,1,6,October,Oct,2,Module 1,2017-18,17/18,2017,2018,2017-18 Module 1,1
03/10/2017,Tuesday,Tue,2,6,October,Oct,2,Module 1,2017-18,17/18,2017,2018,2017-18 Module 1,1
